task,optimizer,n,loss_mean,metric_mean,seconds_mean,state_mb_mean,ok
poisson_pinn_1d,fanosv2,5,0.0005482613021740689,6.472209168606469e-09,9.687229483400007,0.00879669189453125,5
poisson_pinn_1d,adamw,5,0.0011932761291973293,1.8627491016331986e-08,3.1144330583978443,0.008819580078125,5
poisson_pinn_1d,sgd,5,0.002882824302650988,5.1417737267911435e-08,2.5804489246045703,0.004398345947265625,5
poisson_pinn_1d,rmsprop,5,0.005010274518281221,0.00022777838457841427,3.068047624593601,0.008819580078125,5
