dataset,k,fanos_top1_mean,fanos_top1_std,fanos_seconds_mean,fanos_seconds_std,delta_top1_pp,time_delta_pct,source
MNIST,1,0.97236328125,0.003663736617637514,5.623695058393059,0.1928982001648969,1.0449218750000044,89.53564638832954,results/gradnorm_sweep_k1_mps_20260506_223104
MNIST,2,0.96845703125,0.004035342482694216,4.452326408395311,0.49639672093986464,0.6542968750000044,58.27340996772363,results/gradnorm_sweep_k2_mps_20260506_223156
MNIST,4,0.9640625,0.01223434444340852,3.8605283500044605,0.4810876215494945,0.21484375000000444,42.2822524771046,results/gradnorm_sweep_k4_mps_20260506_223238
MNIST,8,0.9666015625,0.005443843254753412,4.628766783402535,0.04329982162689952,0.46874999999999556,72.67057353940301,results/gradnorm_sweep_k8_mps_20260506_223316
Fashion-MNIST,2,0.87197265625,0.018103978034976678,4.588968674797798,0.2037992760763018,1.220703125,59.96762263620832,results/gradnorm_fashionmnist_k2_mps_20260507_213549
Fashion-MNIST,4,0.87236328125,0.011599120836813958,4.253376758197556,0.19300758251220965,1.2597656249999978,48.38731770755433,results/gradnorm_fashionmnist_k4_mps_20260507_213633
CIFAR-10,2,0.5134765625,0.02005106605492498,5.9556552750000264,0.20312530834087403,0.17578124999999556,65.29765944229953,results/gradnorm_cifar10_k2_mps_20260507_213715
CIFAR-10,4,0.51103515625,0.01867189032262708,5.722362933401018,0.1269879770429798,-0.06835937500000444,60.302529562633865,results/gradnorm_cifar10_k4_mps_20260507_213814
