dataset,adamw_top1_mean,adamw_top1_std,adamw_seconds_mean,adamw_seconds_std,fanos_top1_mean,fanos_top1_std,fanos_seconds_mean,fanos_seconds_std,delta_top1_pp,time_delta_pct,source
MNIST,0.9619140625,0.0037346334328072156,2.8275555168045683,0.1399657872144964,0.97080078125,0.004912022007796599,4.23467652539257,0.1894129193754068,0.8886718750000022,49.764575804976396,results/fanosv2fast_default_mnist_mps_20260507_222936
Fashion-MNIST,0.859765625,0.014960064177757951,2.6646095418022013,0.01804005512814141,0.88173828125,0.006742879432013297,4.304720400000224,0.05367184782185469,2.197265625,61.551639460419324,results/fanosv2fast_default_fashionmnist_mps_20260507_223017
CIFAR-10,0.51171875,0.009309412092254696,3.5250239500019234,0.03279769704962781,0.53837890625,0.01383482689818468,5.528595833410509,0.02897354086262065,2.6660156249999956,56.83853249869386,results/fanosv2fast_default_cifar10_mps_20260507_223058
